_measurement,time,price,mileage,title,url
string,dateTime:RFC3339,double,double,string,string
group,FALSE,FALSE,FALSE,FALSE,FALSE
gt350_listing,2024-03-23T00:00:00Z,72500,1000,1k-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-53/
gt350_listing,2024-04-17T00:00:00Z,64501,4600,"4,600-Mile 2018 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-56/
gt350_listing,2024-08-12T00:00:00Z,69500,3000,3k-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-59/
gt350_listing,2024-08-21T00:00:00Z,66350,9000,9k-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-61/
gt350_listing,2024-09-17T00:00:00Z,54500,1100,"1,100-Mile 2018 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350-47/
gt350_listing,2024-11-26T00:00:00Z,65000,8000,8k-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-63/
gt350_listing,2025-02-05T00:00:00Z,58500,11000,11k-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-64/
gt350_listing,2021-04-12T00:00:00Z,72000,2000,2k-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-5/
gt350_listing,2021-07-30T00:00:00Z,66000,2800,"2,800-Mile 2019 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350-5/
gt350_listing,2021-09-04T00:00:00Z,92000,207,207-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-11/
gt350_listing,2021-09-15T00:00:00Z,62500,1200,"1,200-Mile 2019 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350-4/
gt350_listing,2021-10-04T00:00:00Z,92000,52,52-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-gt350r-6/
gt350_listing,2021-10-11T00:00:00Z,99000,836,836-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-16/
gt350_listing,2021-10-15T00:00:00Z,67000,2300,"2,300-Mile Supercharged 2019 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350-7/
gt350_listing,2021-12-28T00:00:00Z,80000,497,497-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-gt350r-11/
gt350_listing,2022-03-01T00:00:00Z,63500,1700,"1,700-Mile 2019 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350-12/
gt350_listing,2022-04-01T00:00:00Z,90000,63,63-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-21/
gt350_listing,2022-04-05T00:00:00Z,85000,2500,"2,500-Mile 2019 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-22/
gt350_listing,2022-05-18T00:00:00Z,86000,931,931-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-24/
gt350_listing,2022-05-25T00:00:00Z,87000,490,490-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-26/
gt350_listing,2022-06-21T00:00:00Z,85000,1900,"1,900-Mile 2019 Ford Mustang Shelby GT350R Hennessey HPE850",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-30/
gt350_listing,2022-08-20T00:00:00Z,78000,1400,"1,400-Mile 2019 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-36/
gt350_listing,2022-09-18T00:00:00Z,67000,2100,"2,100-Mile 2019 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350-26/
gt350_listing,2022-12-29T00:00:00Z,80500,607,607-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-40/
gt350_listing,2023-05-31T00:00:00Z,79500,6000,6k-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-32/
gt350_listing,2023-06-13T00:00:00Z,87501,1300,"1,300-Mile 2019 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-47/
gt350_listing,2023-06-18T00:00:00Z,70000,1100,"1,100-Mile 2019 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350-39/
gt350_listing,2023-06-27T00:00:00Z,75000,6000,6k-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-48/
gt350_listing,2023-08-27T00:00:00Z,59000,2400,"2,400-Mile 2019 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350-46/
gt350_listing,2023-09-21T00:00:00Z,73000,8000,8k-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-52/
gt350_listing,2023-10-04T00:00:00Z,73000,6000,6k-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-51/
gt350_listing,2023-10-12T00:00:00Z,59500,2900,"2,900-Mile 2019 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350-48/
gt350_listing,2023-12-02T00:00:00Z,61500,2900,"2,900-Mile 2019 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350-48-2/
gt350_listing,2024-05-05T00:00:00Z,64350,8000,8k-Mile 2019 Ford Mustang Shelby GT350,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350-57/
gt350_listing,2024-09-20T00:00:00Z,75500,3500,"3,500-Mile 2019 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-64/
gt350_listing,2024-12-19T00:00:00Z,99500,24,24-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-65/
gt350_listing,2025-02-21T00:00:00Z,75000,3300,"3,300-Mile 2019 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-67/
gt350_listing,2025-03-13T00:00:00Z,84000,1700,"1,700-Mile 2019 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-68/
gt350_listing,2025-03-28T00:00:00Z,74750,9000,9k-Mile 2019 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350r-66/
gt350_listing,2025-04-29T00:00:00Z,72500,4500,"4,500-Mile 2019 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2019-ford-mustang-shelby-gt350-60/
gt350_listing,2020-06-10T00:00:00Z,60000,9,9-Mile 2020 Ford Mustang Shelby GT350,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350/
gt350_listing,2021-06-21T00:00:00Z,105000,31,31-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-3/
gt350_listing,2021-09-27T00:00:00Z,107000,233,233-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-r-6/
gt350_listing,2021-11-20T00:00:00Z,156000,6,6-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-13/
gt350_listing,2021-12-20T00:00:00Z,95000,440,440-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-r-7/
gt350_listing,2022-01-15T00:00:00Z,81000,198,198-Mile 2020 Ford Mustang Shelby GT350 Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-17/
gt350_listing,2022-01-30T00:00:00Z,74500,1900,"1,900-Mile 2020 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-21/
gt350_listing,2022-02-10T00:00:00Z,95500,1800,"1,800-Mile 2020 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-r-8/
gt350_listing,2022-02-20T00:00:00Z,85000,1600,"1,600-Mile 2020 Ford Mustang Shelby GT350 Heritage Edition",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-23/
